targetname,datetime_str,datetime_jd,solar_presence,flags,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,V,surfbright,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,IB_elong,IB_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat,H,G
Mercury Barycenter (199),2023-Oct-01 00:00,2460218.5,,,125.73867,26.296,122.07081,1.47811,860.1415,-45.7544,,,,,,,,,999,,-5.517,0.813,100.0,1.8e-07,0.0,*,20.81113,359.812246,0.03493,359.822968,0.034931,93.04,0.0,3.0478,10.406,121.821,6.7186,0.323273816807,7.0436063,0.32327381680671,7.0436063,2.68858635,56.5390298,56.5390299,0.0,/*,0.0107,,,,,,-0.06545,Cnc,69.182355,121.820974,6.718564,281.00191,61.41314,197.028824,30.811531,,8.328331,,,,,,,,,,,,,44.4462,,0.0107,121.8156,6.7184,,
Mercury Barycenter (199),2023-Oct-02 00:00,2460219.5,,,131.86992,25.03149,127.73253,1.17028,837.772,-46.4849,,,,,,,,,999,,-5.46,0.841,100.0,1.8e-07,0.0,*,20.54,0.282575,0.034471,0.293156,0.034472,93.18,0.0,3.1822,10.27,127.5274,6.8813,0.327540949177,7.718465,0.32754094917703,7.718465,2.72407501,55.9031332,55.9031333,0.0,/*,0.0106,,,,,,-0.06429,Cnc,69.182353,127.5273781,6.8813376,281.00191,61.41314,200.395265,35.733176,,8.325973,,,,,,,,,,,,,50.1147,,0.0106,127.522,6.8812,,
Venus Barycenter (299),2023-Oct-01 00:00,2460218.5,,,35.69542,11.9236,37.22926,2.36057,239.745,-12.7847,,,,,,,,,999,,-5.789,0.764,100.0,7.9e-08,0.0,*,23.06055,303.233987,0.921267,303.2273,0.921556,93.05,0.0,5.5251,11.529,37.3289,-2.1507,0.723676819426,-0.2356462,0.72367681942599,-0.2356462,6.01863658,35.0040573,35.0040573,0.0,/*,0.0067,,,,,,-0.01913,Ari,69.182355,37.3289003,-2.1506682,272.76,67.16,155.474957,-45.098699,,8.328331,,,,,,,,,,,,,265.6085,,0.0067,37.3256,-2.1508,,
Venus Barycenter (299),2023-Oct-02 00:00,2460219.5,,,37.22121,12.50584,38.82912,2.27441,239.8206,-13.0603,,,,,,,,,999,,-5.789,0.763,100.0,7.9e-08,0.0,*,23.06489,306.314916,0.851851,306.308228,0.852143,93.12,0.0,5.6146,11.531,38.9291,-2.0765,0.723540595361,-0.236055,0.72354059536074,-0.236055,6.01750364,35.0106445,35.0106445,0.0,/*,0.0067,,,,,,-0.01911,Ari,69.182353,38.929142,-2.0764739,272.76,67.16,156.878438,-43.849692,,8.325973,,,,,,,,,,,,,267.2065,,0.0067,38.9258,-2.0766,,
Earth-Moon Barycenter (3),2023-Oct-01 00:00,2460218.5,,,6.64299,2.87039,7.28113,6.7454,147.2424,-6.86504,,,,,,,,,999,,,,,,0.0,*,,,,,,n.a,,,,7.234,-0.0008,1.001422346227,-0.4956499,1.00142234622699,-0.4956499,8.32857569,29.7426612,29.742661,0.0,/*,0.0057,,,,,,0.01232,Psc,69.182355,7.2340447,-0.0007788,,,110.662667,-59.407718,,8.328331,,,,,,,,,,,,,264.237,,0.0057,7.2312,-0.0008,,
Earth-Moon Barycenter (3),2023-Oct-02 00:00,2460219.5,,,7.54745,3.25834,8.26978,6.69863,147.3126,-7.16654,,,,,,,,,999,,,,,,0.0,*,,,,,,n.a,,,,8.217,-0.0008,1.001135850118,-0.4964354,1.00113585011846,-0.4964354,8.32619297,29.7511917,29.7511916,0.0,/*,0.0057,,,,,,0.01233,Psc,69.182353,8.21701,-0.0008314,,,112.53727,-59.183903,,8.325973,,,,,,,,,,,,,265.2218,,0.0057,8.2142,-0.0008,,
Mars Barycenter (4),2023-Oct-01 00:00,2460218.5,,,209.54748,-11.45986,211.56725,-4.48616,71.28672,4.290965,,,,,,,,,999,,,,,,0.0,*,,,,,,n.a,,,,211.4993,0.5709,1.59505447131,-1.8607958,1.5950544713095,-1.8607958,13.26566353,23.0245016,23.0245016,0.0,/*,0.0044,,,,,,0.00195,Vir,69.182355,211.4993042,0.5709302,,,327.882708,48.15165,,8.328331,,,,,,,,,,,,,235.355,,0.0044,211.4971,0.571,,
Mars Barycenter (4),2023-Oct-02 00:00,2460219.5,,,209.99847,-11.63802,212.04426,-4.45738,71.38035,4.343105,,,,,,,,,999,,,,,,0.0,*,,,,,,n.a,,,,211.9755,0.5563,1.593976693968,-1.8714118,1.59397669396759,-1.8714118,13.25669993,23.0408291,23.0408292,0.0,/*,0.0044,,,,,,0.00196,Vir,69.182353,211.9755321,0.5562987,,,328.38851,47.816434,,8.325973,,,,,,,,,,,,,235.8313,,0.0044,211.9733,0.5564,,
Jupiter Barycenter (5),2023-Oct-01 00:00,2460218.5,,,35.2002,12.7995,37.1538,3.35832,13.59129,-1.20964,,,,,,,,,999,,,,,,0.0,*,,,,,,n.a,,,,37.1552,-1.1653,4.969491828105,0.2485953,4.96949182810478,0.2485953,41.33000326,13.6633038,13.6633038,0.0,/*,0.0026,,,,,,0.0002,Ari,69.182355,37.1551677,-1.1652554,,,154.28192,-44.564493,,8.328331,,,,,,,,,,,,,22.7234,,0.0026,37.1539,-1.1653,,
Jupiter Barycenter (5),2023-Oct-02 00:00,2460219.5,,,35.28811,12.82994,37.24456,3.35025,13.59039,-1.21083,,,,,,,,,999,,,,,,0.0,*,,,,,,n.a,,,,37.2461,-1.1643,4.969635668799,0.2495129,4.96963566879906,0.2495129,41.33119954,13.6629245,13.6629246,0.0,/*,0.0026,,,,,,0.0002,Ari,69.182353,37.2461459,-1.1643261,,,154.36741,-44.496962,,8.325973,,,,,,,,,,,,,22.8124,,0.0026,37.2448,-1.1643,,
